"","Song","Singer","Album"
"1","Square (2017)","백예린","Every letter I sent you."
"2","Blueming","아이유","Love poem"
"3","아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","염따, 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉","Dingo X DAMOIM (Part 2)"
"4","늦은 밤 너의 집 앞 골목길에서","노을","늦은 밤 너의 집 앞 골목길에서"
"5","나의 오랜 연인에게","다비치","나의 오랜 연인에게"
"6","Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, Aurora","Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)"
"7","첫 겨울이니까","성시경, 아이유","첫 겨울이니까"
"8","HIP","마마무(Mamamoo)","reality in BLACK"
"9","십이월 이십오일의 고백","정승환","십이월 이십오일의 고백"
"10","Love poem","아이유","Love poem"
"11","헤어진 우리가 지켜야 할 것들","김나영, 양다일","헤어진 우리가 지켜야 할 것들"
"12","어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","AKMU (악동뮤지션)","항해"
"13","흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야","장범준","멜로가 체질 OST Part 3"
"14","Obsession","EXO","OBSESSION - The 6th Album"
"15","이 번호로 전화해줘","바이브","이 번호로 전화해줘"
"16","METEOR","창모 (CHANGMO)","Boyhood"
"17","조금 취했어 (Prod. 2soo)","임재현","조금 취했어"
"18","인기 (Feat. 송가인, 챈슬러)","MC몽","CHANNEL 8"
"19","Show Yourself (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, Evan Rachel Wood","Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)"
"20","새 사랑","송하예","새 사랑"
"21","사랑이란 멜로는 없어","전상근","사랑이란 멜로는 없어"
"22","오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)","마크툽 (MAKTUB)","Red Moon : To You My Light"
"23","안녕","폴킴","호텔 델루나 OST Part.10"
"24","시간의 바깥","아이유","Love poem"
"25","있어줘요","장덕철","있어줘요"
"26","All I Want For Christmas Is You","Mariah Carey","Merry Christmas (Deluxe Anniversary Edition)"
"27","Santa Tell Me","Ariana Grande","Santa Tell Me"
"28","불티 (Spark)","태연 (TAEYEON)","Purpose - The 2nd Album"
"29","시든 꽃에 물을 주듯","HYNN (박혜원)","시든 꽃에 물을 주듯"
"30","Popo (How deep is our love?)","백예린","Every letter I sent you."
"31","작은 것들을 위한 시 (Boy With Luv) feat. Halsey","방탄소년단","MAP OF THE SOUL : PERSONA"
"32","이별주","황인욱","이별주"
"33","포장마차","황인욱","포장마차"
"34","2002","Anne-Marie","Speak Your Mind (Deluxe)"
"35","니 소식","송하예","니 소식"
"36","0310","백예린","Every letter I sent you."
"37","Trouble","EXO","OBSESSION - The 6th Album"
"38","다시 만날까 봐","V.O.S","다시 만날까 봐"
"39","unlucky","아이유","Love poem"
"40","숨겨진 세상 (Into the Unknown End Credit Version) (""겨울왕국 2"")","태연 (TAEYEON)","겨울왕국 2 (한국어 버전)"
"41","차가워진 이 바람엔 우리가 써있어(Bad Love)","HYNN (박혜원)","차가워진 이 바람엔 우리가 써있어(Bad Love)"
"42","미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ)","아이유","Real"
"43","춤 (Groove)","EXO","OBSESSION - The 6th Album"
"44","워커홀릭","볼빨간사춘기","Two Five"
"45","기억해줘요 내 모든 날과 그때를","거미","호텔 델루나 OST Part.7"
"46","사랑에 연습이 있었다면 (Prod. 2soo)","임재현","사랑에 연습이 있었다면"
"47","모든 날, 모든 순간 (Every day, Every Moment)","폴킴","`키스 먼저 할까요?` OST Part.3"
"48","지킬 (Jekyll)","EXO","OBSESSION - The 6th Album"
"49","나비효과 (Butterfly Effect)","EXO","OBSESSION - The 6th Album"
"50","사랑이 식었다고 말해도 돼","먼데이 키즈 (Monday Kiz)","사랑이 식었다고 말해도 돼"
"51","Snowman","Sia","Everyday Is Christmas (Deluxe)"
"52","Señorita","Shawn Mendes, Camila Cabello","Señorita"
"53","Ya Ya Ya","EXO","OBSESSION - The 6th Album"
"54","bad guy","Billie Eilish","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
"55","크리스마스니까","성시경, 박효신, 이석훈, 서인국, VIXX (빅스)","Jelly Christmas 2012 HEART PROJECT"
"56","Baby You Are","EXO","OBSESSION - The 6th Album"
"57","오늘도 (Day After Day)","EXO","OBSESSION - The 6th Album"
"58","샤넬 (Feat. 박봄)","MC몽","CHANNEL 8"
"59","허전해","폴킴","정규 2집 '마음, 하나'"
